epoch,train_loss_mse
1,6.1848000000e+00
2,2.1216140000e+00
3,2.0206390000e+00
4,1.1829030000e+00
5,1.6958080000e+00
6,1.7664390000e+00
7,9.6406260000e-01
8,8.5939650000e-01
9,1.1993560000e+00
10,6.9363670000e-01
11,5.1591960000e-01
12,4.0577540000e-01
13,4.4296410000e-01
14,3.6454740000e-01
15,3.2650210000e-01
16,3.7575660000e-01
17,5.0324200000e-01
18,2.7830970000e-01
19,2.9371480000e-01
20,2.1988600000e-01
21,2.1305220000e-01
22,1.8270960000e-01
23,1.6804280000e-01
24,1.3863790000e-01
25,1.7153690000e-01
26,1.8572300000e-01
27,1.9122060000e-01
28,1.6717340000e-01
29,1.2339930000e-01
30,1.1724240000e-01
31,1.6292900000e-01
32,1.1513440000e-01
33,1.1819360000e-01
34,1.1338650000e-01
35,9.7723120000e-02
36,9.1530690000e-02
37,1.0568620000e-01
38,8.0942700000e-02
39,1.1344570000e-01
40,1.0784480000e-01
41,9.4545970000e-02
42,1.1304230000e-01
43,9.7292260000e-02
44,7.5709390000e-02
45,7.1628190000e-02
46,7.7848960000e-02
47,8.9637120000e-02
48,9.9123050000e-02
49,7.7159630000e-02
50,8.1389280000e-02
51,6.4550640000e-02
52,7.6577940000e-02
53,6.0996810000e-02
54,7.4683970000e-02
55,5.9996960000e-02
56,7.1079340000e-02
57,8.0241700000e-02
58,6.5087510000e-02
59,6.7256810000e-02
60,6.2267920000e-02
61,6.5946880000e-02
62,6.3483660000e-02
63,5.7346240000e-02
64,6.1940780000e-02
65,4.5973360000e-02
66,5.4848520000e-02
67,5.4344100000e-02
68,5.4912290000e-02
69,6.0023970000e-02
70,5.3154570000e-02
71,4.8065880000e-02
72,4.8656090000e-02
73,4.9280440000e-02
74,5.2014910000e-02
75,5.0304900000e-02
76,4.3318180000e-02
77,3.7857470000e-02
78,4.5654400000e-02
79,4.4244410000e-02
80,4.1379200000e-02
81,4.2402910000e-02
82,4.4742120000e-02
83,4.5787770000e-02
84,3.9692980000e-02
85,3.9282030000e-02
86,3.9425080000e-02
87,4.1306060000e-02
88,3.7760900000e-02
89,3.3053230000e-02
90,3.1925770000e-02
91,3.3579030000e-02
92,3.3269640000e-02
93,3.3563010000e-02
94,3.6040730000e-02
95,3.4022890000e-02
96,3.4113750000e-02
97,2.6921580000e-02
98,3.6461560000e-02
99,3.5713620000e-02
100,3.0254670000e-02
101,3.1265840000e-02
102,3.2929880000e-02
103,3.1254630000e-02
104,2.9618850000e-02
105,3.2318330000e-02
106,3.0671630000e-02
107,3.1971390000e-02
108,3.2044050000e-02
109,2.7248740000e-02
110,2.7000670000e-02
111,2.7576590000e-02
112,2.4825310000e-02
113,2.7899990000e-02
114,3.1521360000e-02
115,2.6347830000e-02
116,2.8693320000e-02
117,2.2777810000e-02
118,2.3900800000e-02
119,2.2320250000e-02
120,2.6711760000e-02
121,2.9244440000e-02
122,2.4918320000e-02
123,2.7340070000e-02
124,2.3632440000e-02
125,2.2320050000e-02
126,2.3389410000e-02
127,2.3005850000e-02
128,2.3499750000e-02
129,2.0750260000e-02
130,2.1944910000e-02
131,2.6559580000e-02
132,2.2345650000e-02
133,2.4211310000e-02
134,2.3517780000e-02
135,2.1397370000e-02
136,2.0437930000e-02
137,2.0542280000e-02
138,2.2164690000e-02
139,1.9312250000e-02
140,1.7959340000e-02
141,2.2035880000e-02
142,1.9451150000e-02
143,1.9029680000e-02
144,1.9627720000e-02
145,1.9728700000e-02
146,1.9722550000e-02
147,1.7557660000e-02
148,2.0504990000e-02
149,1.7414640000e-02
150,1.7577030000e-02
151,1.7571590000e-02
152,1.7363450000e-02
153,2.0420940000e-02
154,1.7984970000e-02
155,1.8309790000e-02
156,1.5785660000e-02
157,1.5840240000e-02
158,1.6242530000e-02
159,1.6289240000e-02
160,1.7576430000e-02
161,1.8933500000e-02
162,1.8169090000e-02
163,1.6331560000e-02
164,1.8244720000e-02
165,1.4205120000e-02
166,2.1575500000e-02
167,1.5929680000e-02
168,1.7809270000e-02
169,1.9040900000e-02
170,1.8701710000e-02
171,1.6762930000e-02
172,1.4656270000e-02
173,1.5568720000e-02
174,1.6201800000e-02
175,1.5555420000e-02
176,1.5207400000e-02
177,1.4050300000e-02
178,1.3427540000e-02
179,1.8347110000e-02
180,1.2942340000e-02
181,2.0563610000e-02
182,1.4918330000e-02
183,1.7025010000e-02
184,1.5344520000e-02
185,1.7018300000e-02
186,1.3322140000e-02
187,1.3906510000e-02
188,1.5359710000e-02
189,1.3439800000e-02
190,1.1831280000e-02
191,1.2149560000e-02
192,1.6310220000e-02
193,1.3236450000e-02
194,1.3413560000e-02
195,1.3302880000e-02
196,1.2826170000e-02
197,1.2113220000e-02
198,1.2746250000e-02
199,1.5541670000e-02
200,1.3053480000e-02
